Zone;CodeZone;I_01_03_4;I_06_01_2;I_07_01_2;I_07_01_3;I_08_08_2;I_10_00_0;I_10_00_1;I_10_00_2;I_12_08_1;I_12_01_5;I_12_05_5;I_13_01_1;I_16_02_6;I_18_03_1;I_18_04_1;I_18_04_2;I_18_05_1;I_18_05_2;I_18_05_3;I_19_01_1;I_20_01_1;I_22_04_3;I_23_02_1;I_23_02_2;I_24_01_5;I_24_01_4;I_27_01_3;I_THD;Avancement_PCAET
CC du Pays de Tarascon;240900431;0.475002596341641;20.0454348110559;27.7905139333594;17.1237429669649;3.05150707757997;49.9692347354982;19.1809584635438;60.3026033340871;0.761398071960361;11.744966442953;0.985751804543683;7.72222222222222;10.7714614157605;NA;0;NA;0;0;0;0;16.1616161616162;8.42341639703218;1.96231382202884;82.3941120651156;6.84931506849315;77.2727272727273;2.13534140122729;42.6853873724841;NA
CC du Pays d'Olmes;240900464;0.500049809804233;67.0777274487608;23.4101364939239;20.6161078617347;2.55634010112684;48.9322976114565;20.840190460659;51.9729189863654;2.30868327155189;10.6002202643172;1.33869938661369;4.82038685907277;7.76414226783625;NA;0;0;0;0;0;7.69230769230769;13.3333333333333;27.5194394845048;1.19087756673696;85.2027079169346;11.1783271962125;50;2.47905822465871;26.737008501594;NA
CC Forêts, Lacs, Terres en Champagne;241000223;0.258326219896849;15.455868611081;36.6677634128628;10.4561073166636;1.32514037476958;49.4973831954096;17.8213810254605;69.7293077234608;3.19674578514169;10.9489051094891;0.222750767301322;17.1974522292994;5.99586851202938;0;33.3333333333333;NA;33.3333333333333;0;0;5.88235294117647;11.7647058823529;31.081540906292;0.70308297025449;85.4852498699357;7.17463050652891;86.3636363636364;2.72574160191988;44.6018390111547;NA
CC de la Région de Bar-sur-Aube;241000405;0.379902444656173;30.4115916713396;25.1419445703368;24.9476568033928;4.37139116718224;50.2627198581738;20.5179465780518;61.2744734507966;0.187760607079349;7.01844262295082;0.33450486860773;8.46248462484625;19.9870743714264;NA;0;27.2727272727273;0;0;0;0;30.7692307692308;71.0273600988433;1.03666142102077;74.5765930241777;7.73993808049536;54.5454545454545;2.36898546165448;41.8611948632049;NA
CC du Pays d'Othe;241000447;0.386339091118731;36.7154433608257;26.3695369364451;18.0886765774051;1.90752668453407;48.2451502231153;22.9568803277342;62.3312002389006;0.720212601412724;9.7538742023701;0.960985982643312;7.83783783783784;7.56599382752437;0;0;0;50;0;16.6666666666667;0;12.5;0.282110035232261;1.67314165734617;84.4982815381616;7.55382097444291;100;2.26611776737377;41.9794158831766;NA
CC de l'Orvin et de l'Ardusson;241000488;0.311167651442326;27.5763016517033;34.3446233601497;11.869568516878;1.61133192879196;57.5125376789559;18.7075998273332;66.3516934902559;0.973187060145647;10.29263370333;0.604981295990738;16.0295930949445;5.42839688390687;NA;0;0;100;0;0;10.5263157894737;0;0;3.60466596403461;80.4919603835973;4.69759248385203;86.3636363636364;2.4538351944201;47.2018702378204;NA
CA Le Grand Narbonne;241100593;0.406277965599019;43.5261918725269;34.1993593970786;17.077738552466;6.45129964508795;52.2469354604897;22.1873239750264;56.4121329863868;0.921934931867915;13.2249667029907;0.78339369549539;10.920215812159;12.3707307028708;0;0;26.0869565217391;0;0;0;12.5;31.9587628865979;41.1763594832539;3.03205733440349;80.4226891864557;11.0393684528206;31.8181818181818;7.48405312059331;35.6913331781221;NA
CA Rodez Agglomération;241200187;0.30232864127404;26.7721544797253;46.9063620387388;12.6270381296389;7.32674744109316;52.4666395151005;19.1415574051759;66.8230082542742;0.568638340597385;10.0442100364539;1.49461686083412;15.6256030878096;15.7908505195516;NA;0;0;NA;NA;NA;0;41.1764705882353;2.35343582428549;4.44909677878885;79.218481394924;9.24130682950695;0;12.2827122728716;32.6529580095186;NA
CC du Réquistanais;241200542;0.575651296663056;54.509247050016;38.3354157323384;11.1849407677399;1.82049747167194;52.6629236929456;13.6244184950839;69.6542764269631;0.463059475283032;8.89052167523879;0.761611258196002;25.0229147571036;23.9704208530176;NA;0;NA;NA;NA;NA;NA;83.3333333333333;0.0949751921305392;0.333455575460401;65.2092085407481;9.14745700695207;86.3636363636364;0.713886868668;35.0561708467842;NA
CC de Millau Grands Causses;241200567;0.419028514714619;31.4935530845878;37.2329976279546;13.4606894434187;4.59617043181305;52.0473702561452;18.8687957914002;64.3452668557956;0.868403058989775;10.0737100737101;0.956923463969702;15.5695477962221;19.165611613949;18.1818181818182;0;0;0;0;0;0;34.1463414634146;59.5346699943281;1.9267632045878;75.1555971000772;11.1543011661315;90.9090909090909;2.9839663288451;15.0919617126389;NA
